MsgID.STATE,1526666818.5144691,False,False
MsgID.LOCAL_VELOCITY,1526666866.6514881,-0.0000044,-0.0000192,0.0000126
MsgID.STATE,1526666866.6517470,True,True
MsgID.GLOBAL_HOME,1526666866.6520152,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1526666866.6522601,-122.3974485,37.7924804,0.0690000
MsgID.LOCAL_VELOCITY,1526666866.6522601,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6527209,0.0490431,0.1257273,-0.0690491
MsgID.LOCAL_VELOCITY,1526666866.6527209,0.0000034,0.0000135,0.0000211
MsgID.GLOBAL_POSITION,1526666866.6530418,-122.3974486,37.7924797,0.0850000
MsgID.LOCAL_VELOCITY,1526666866.6530418,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6532280,-0.0224689,0.1180760,-0.0854447
MsgID.LOCAL_VELOCITY,1526666866.6532280,0.0000145,-0.0000199,0.0000125
MsgID.LOCAL_POSITION,1526666866.6534131,0.0788047,0.0096540,-0.1059505
MsgID.LOCAL_VELOCITY,1526666866.6534131,-0.0000013,0.0000163,0.0000192
MsgID.GLOBAL_POSITION,1526666866.6535959,-122.3974498,37.7924807,0.1050000
MsgID.LOCAL_VELOCITY,1526666866.6535959,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6537752,0.0047052,0.0094990,-0.1208602
MsgID.LOCAL_VELOCITY,1526666866.6537752,-0.0000093,0.0000068,0.0000187
MsgID.GLOBAL_POSITION,1526666866.6539578,-122.3974498,37.7924800,0.1200000
MsgID.LOCAL_VELOCITY,1526666866.6539578,0.0000000,0.0000000,0.0000000
MsgID.STATE,1526666866.6543219,True,True
MsgID.GLOBAL_HOME,1526666866.6551192,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1526666866.6553411,-0.1527923,0.0784616,-0.1300270
MsgID.LOCAL_VELOCITY,1526666866.6553411,-0.0000133,0.0000021,0.0000138
MsgID.GLOBAL_POSITION,1526666866.6555781,-122.3974491,37.7924786,0.1300000
MsgID.LOCAL_VELOCITY,1526666866.6555781,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526666866.6559300,-0.0303774,0.1970291,-0.1300089
MsgID.LOCAL_VELOCITY,1526666866.6559300,0.0000214,-0.0000141,0.0000156
